# Issue #154 strict inventory of Quarkdown v2.5.1 content, media, presentation, and Markdown-extension surfaces.
# target_sha=107ec3a9482f10d6f90d7580f8409b46a719d18e
# audit_base=7144683346fd6e39c49ef0923733c856a6a55f42
# declared_total=83
# declared_owned=71
# declared_handoffs=12
# Columns: ownership	canonical/public surface	aliases	category/family	exact upstream syntax/signature	exact Quarkdown v2.5.1 provenance	observable contract	Markdown baseline relationship	Quarkdown-specific extension/semantic delta	parser/frontend representation	source provenance/span behavior	binder/value-conversion requirements	evaluator semantics	AST/semantic representation	backend-neutral IR representation or current absence	Typst/backend behavior	rendered-output fidelity	resource/project dependency	caption interaction	numbering interaction	reference/label interaction	layout/document-state interaction	malformed-input behavior	unsupported-input behavior	diagnostic behavior	current Scribium conformance/test evidence	current canonical #147 support status	existing issue/PR linkage	exact remaining gap	disposition
owned	syntax:qd-inline-math	none	Quarkdown extension	`$ expression $` inline math	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-core/src/main/kotlin/com/quarkdown/core/lexer/patterns	Pinned lexer distinguishes inline math.	Dollar-delimited math is a QD/renderer extension.	No current QD math parse path.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	No new #154 evaluator dispatch	Existing AST/semantic nodes only; no production semantic addition	Existing backend-neutral IR only; no new variant	Existing lowering only; no new backend lowering	No new Quarkdown-specific output equivalence evidence	No resource access added; #155 where applicable	No current caption producer/consumer	#153 owns global numbering policy; no local index represented	No current label/reference index	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Pinned source sweep plus current Scribium code/tests	UNSUPPORTED	#185;#180;#156	No inline math parser/semantic node, .texmacro consumer, or output contract exists; #185 owns the producer and #180 owns macro state.	Audit evidence only; implementation frozen until #156
owned	syntax:qd-display-math	none	Quarkdown extension	`$$$ ... $$$` and spaced one-line math with optional `{#id}`	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-core/src/main/kotlin/com/quarkdown/core/lexer/patterns	Pinned lexer distinguishes multiline/display math.	Delimiter, block choice, numbering, and refs are QD semantics.	No current QD display-math path.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	No new #154 evaluator dispatch	Existing AST/semantic nodes only; no production semantic addition	Existing backend-neutral IR only; no new variant	Existing lowering only; no new backend lowering	No new Quarkdown-specific output equivalence evidence	No resource access added; #155 where applicable	No current caption producer/consumer	#153 owns global numbering policy; no local index represented	No current label/reference index	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Pinned source sweep plus current Scribium code/tests	UNSUPPORTED	#185;#180;#156	No display math grammar, identifier/numbering contract, .texmacro consumer, or output contract exists; #185 owns the producer and #180 owns macro state.	Audit evidence only; implementation frozen until #156
owned	syntax:qd-pagebreak	none	Quarkdown extension	Isolated line of three or more `<` characters	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-core/src/main/kotlin/com/quarkdown/core/lexer/patterns/QuarkdownBlockTokenRegexPatterns.kt	Pinned lexer emits explicit PageBreak token.	Not CommonMark/GFM; explicit QD break.	No current QD pagebreak path.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	No new #154 evaluator dispatch	Existing AST/semantic nodes only; no production semantic addition	Existing backend-neutral IR only; no new variant	Existing lowering only; no new backend lowering	No new Quarkdown-specific output equivalence evidence	No resource access added; #155 where applicable	No current caption producer/consumer	#153 owns global numbering policy; no local index represented	No current label/reference index	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Pinned source sweep plus current Scribium code/tests	UNSUPPORTED	#185;#156	No explicit page-break syntax, semantic node, IR, or backend behavior exists; #185 owns the producer.	Audit evidence only; implementation frozen until #156
owned	syntax:qd-custom-id	none	Quarkdown extension	`{#id}` on headings, figures, tables, code, math, images, and related nodes	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-core/src/main/kotlin/com/quarkdown/core/parser/PatternHelpers.kt	Pinned parser attaches custom IDs to multiple node forms.	ID grammar and cross-node anchor semantics are QD.	No current cross-node identifier representation.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	No new #154 evaluator dispatch	Existing AST/semantic nodes only; no production semantic addition	Existing backend-neutral IR only; no new variant	Existing lowering only; no new backend lowering	No new Quarkdown-specific output equivalence evidence	No resource access added; #155 where applicable	No current caption producer/consumer	#153 owns global numbering policy; no local index represented	No current label/reference index	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Pinned source sweep plus current Scribium code/tests	UNSUPPORTED	#181;#157;#156	No identifier field, uniqueness policy, index, or anchor output exists; #181 owns the structural identifier boundary.	Audit evidence only; implementation frozen until #156
owned	syntax:qd-caption-delimiter	none	Quarkdown extension	Caption line immediately after a table delimited by quote or parentheses	https://github.com/iamgio/quarkdown/tree/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-core/src/main/kotlin/com/quarkdown/core/parser	Pinned parser recognizes table caption placement/delimiters.	QD adjacency/delimiter rule layers over Markdown table.	No current table caption field.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	No new #154 evaluator dispatch	Existing AST/semantic nodes only; no production semantic addition	Existing backend-neutral IR only; no new variant	Existing lowering only; no new backend lowering	No new Quarkdown-specific output equivalence evidence	No resource access added; #155 where applicable	No current caption producer/consumer	#153 owns global numbering policy; no local index represented	No current label/reference index	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Pinned source sweep plus current Scribium code/tests	UNSUPPORTED	#181;#156	No caption association, placement, numbering, reference, or output contract exists; #181 owns shared caption infrastructure.	Audit evidence only; implementation frozen until #156
owned	syntax:qd-code-caption	none	Quarkdown extension	Fenced code caption and `.code caption:{...}`	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Primitives.kt	Pinned `.code` accepts caption and presentation options.	Fence language is baseline; caption/options are QD.	Existing CodeBlock only.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	No new #154 evaluator dispatch	Existing AST/semantic nodes only; no production semantic addition	Existing backend-neutral IR only; no new variant	Existing lowering only; no new backend lowering	No new Quarkdown-specific output equivalence evidence	No resource access added; #155 where applicable	No current caption producer/consumer	#153 owns global numbering policy; no local index represented	No current label/reference index	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Pinned source sweep plus current Scribium code/tests	PARTIAL	#185;#181;#156	Markdown code works, but callable caption/options/focus/reference/body conversion remains unsupported; #185 owns the code producer and #181 the shared caption/reference boundary.	Audit evidence only; implementation frozen until #156
owned	syntax:qd-compact-footnotes	none	Quarkdown extension	`[^label: definition]` and `[^: definition]`	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-core/src/main/kotlin/com/quarkdown/core/lexer	Pinned parser supports compact and anonymous forms.	Compact definition syntax is QD-specific.	No current footnote model.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	No new #154 evaluator dispatch	Existing AST/semantic nodes only; no production semantic addition	Existing backend-neutral IR only; no new variant	Existing lowering only; no new backend lowering	No new Quarkdown-specific output equivalence evidence	No resource access added; #155 where applicable	No current caption producer/consumer	#153 owns global numbering policy; no local index represented	No current label/reference index	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Pinned source sweep plus current Scribium code/tests	UNSUPPORTED	#181;#156	No compact/anonymous footnote parse, index, numbering, or output contract exists; #181 owns the structural reference boundary.	Audit evidence only; implementation frozen until #156
owned	syntax:qd-cross-reference	none	Quarkdown extension	`.ref {id}` and identifier-bearing references	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Reference.kt	Pinned `.ref` produces CrossReference.	Reference syntax/resolution is QD, not an ordinary Markdown link.	No current `.ref` dispatch/index.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	No new #154 evaluator dispatch	Existing AST/semantic nodes only; no production semantic addition	Existing backend-neutral IR only; no new variant	Existing lowering only; no new backend lowering	No new Quarkdown-specific output equivalence evidence	No resource access added; #155 where applicable	No current caption producer/consumer	#153 owns global numbering policy; no local index represented	No current label/reference index	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Pinned source sweep plus current Scribium code/tests	UNSUPPORTED	#181;#156	No producer/consumer index, generated reference text, unresolved diagnostic, or output contract exists; #181 owns the shared reference boundary.	Audit evidence only; implementation frozen until #156
owned	syntax:qd-callouts	none	Quarkdown extension	Callout/admonition and typed box-like forms found in pinned parser/public surface	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Layout.kt	Pinned box/callout content is distinct from blockquote.	Type/title/style/localization are QD semantics.	Existing Blockquote only.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	No new #154 evaluator dispatch	Existing AST/semantic nodes only; no production semantic addition	Existing backend-neutral IR only; no new variant	Existing lowering only; no new backend lowering	No new Quarkdown-specific output equivalence evidence	No resource access added; #155 where applicable	No current caption producer/consumer	#153 owns global numbering policy; no local index represented	No current label/reference index	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Pinned source sweep plus current Scribium code/tests	PARTIAL	#181;#156	Blockquotes are retained, but typed callout/admonition/box semantics and output are not represented; #181 owns the structural callout boundary.	Audit evidence only; implementation frozen until #156
owned	primitive:heading	none	content primitive	heading(content: InlineMarkdownContent, depth: Int, ref: String? = null, numbered: Boolean = true, indexed: Boolean = true, breakpage: Boolean = true, style: StyleOptions = DEFAULT) -> NodeValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Primitives.kt	Creates a heading with local numbering/index/ref/page options.	Markdown heading is baseline.	Callable options and derived consumers are QD.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	No new #154 evaluator dispatch	Existing AST/semantic nodes only; no production semantic addition	Existing backend-neutral IR only; no new variant	Existing lowering only; no new backend lowering	No new Quarkdown-specific output equivalence evidence	No resource access added; #155 where applicable	No current caption producer/consumer	#153 owns global numbering policy; no local index represented	No current label/reference index	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Pinned source sweep plus current Scribium code/tests	PARTIAL	#181;#177;#156	Markdown headings work, but callable body/options, IDs, numbering/index traversal, and page policy remain incomplete; #181 owns structural content and #153 owns global policy.	Audit evidence only; implementation frozen until #156
owned	primitive:paragraph	none	content primitive	paragraph(content: InlineMarkdownContent, style: StyleOptions = DEFAULT) -> NodeValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Primitives.kt	Creates paragraph content with style.	Markdown paragraph is baseline.	Callable body/style are QD.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	No new #154 evaluator dispatch	Existing AST/semantic nodes only; no production semantic addition	Existing backend-neutral IR only; no new variant	Existing lowering only; no new backend lowering	No new Quarkdown-specific output equivalence evidence	No resource access added; #155 where applicable	No current caption producer/consumer	#153 owns global numbering policy; no local index represented	No current label/reference index	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Pinned source sweep plus current Scribium code/tests	PARTIAL	#181;#160;#165-#167;#156	Markdown paragraphs work, but callable body conversion/style spread remains incomplete; #181 owns structural content and #160/#165-#167 own prerequisites.	Audit evidence only; implementation frozen until #156
owned	primitive:link	none	content primitive	link(context[injected], content: InlineMarkdownContent, url: String, title: InlineMarkdownContent? = null, style: StyleOptions = DEFAULT) -> NodeValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Primitives.kt	Creates a project-aware link.	Markdown link is baseline.	Callable link/title/style are QD.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	No new #154 evaluator dispatch	Existing AST/semantic nodes only; no production semantic addition	Existing backend-neutral IR only; no new variant	Existing lowering only; no new backend lowering	No new Quarkdown-specific output equivalence evidence	No resource access added; #155 where applicable	No current caption producer/consumer	#153 owns global numbering policy; no local index represented	No current label/reference index	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Pinned source sweep plus current Scribium code/tests	PARTIAL	#181;#155;#149;#156	Markdown links work, but callable conversion, URL/resource policy, and style remain incomplete; #181 owns structural content and #155/#149 own dependencies.	Audit evidence only; implementation frozen until #156
owned	primitive:image	none	media/content primitive	image(context[injected], url: String, label: InlineMarkdownContent, title: InlineMarkdownContent? = null, width: Size? = null, height: Size? = null, ref: String? = null, figure: Boolean = true, mediastorage: Boolean = true) -> NodeValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Primitives.kt	Creates sized image, optional figure, label, ref, and media-storage content.	Markdown image parsing is baseline.	Sizing, media storage, figure/ref, and resource behavior are QD.	Rushdown is the Markdown substrate; QD calls use the established scribium-markdown boundary	Current source-span model; no new #154 span mapping	No new binding; #149/#165-#167 own callable conversion	No new #154 evaluator dispatch	Existing AST/semantic nodes only; no production semantic addition	Existing backend-neutral IR only; no new variant	Existing lowering only; no new backend lowering	No new Quarkdown-specific output equivalence evidence	No resource access added; #155 where applicable	No current caption producer/consumer	#153 owns global numbering policy; no local index represented	No current label/reference index	No new document-state or layout subsystem	Existing parser/evaluator diagnostics only	Unrepresented behavior remains unsupported; no silent fallback	Existing structured diagnostics only	Pinned source sweep plus current Scribium code/tests	PARTIAL	#182;#155;#156	Bounded local Markdown image behavior exists, but Quarkdown sizing/media/figure/reference/error/output parity remains open; #182 owns the producer and #155 resources.	Audit evidence only; implementation frozen until #156
