# Issue #155 canonical Quarkdown v2.5.1 filesystem/project/data/resource audit.
# target_sha=107ec3a9482f10d6f90d7580f8409b46a719d18e
# audit_base=1a1fc7b1a978baa23d5eb0bfbef83ec49af5253f
# declared_total=29
# declared_owned=21
# declared_handoffs=8
# Columns: ownership	canonical_surface	aliases	category	exact_upstream_declaration_or_syntax	upstream_provenance	accepted_arguments_and_return_behavior	reference_and_relative_semantics	nested_load_and_normalization	missing_inaccessible_and_upstream_diagnostics	boundary_traversal_behavior	remote_network_behavior	deterministic_external_inputs	current_arkst_path	resource_identity_and_roots	security_host_and_platform_semantics	current_evidence	status	supported_subset	remaining_gap	blocker_dependency	follow_up	disposition	wasm_implications
owned	builtin:.env	env	deterministic external input	env(context: Context, name: String) -> OutputValue<*>	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Process.kt#L15-L40	Variable name string; returns string value or none and requires ProcessAccess.	Not a project path; reads the process environment rather than VirtualProject. Source/project-relative classification is explicit.	No nested resource base; evaluation observes global host process state.	Unset returns none; denied access raises MissingPermissionException upstream; malformed names are host-dependent.	No project traversal semantics; access is an environment capability rather than a file boundary.	Direct host environment read; no network.	Nondeterministic machine/user/process state is explicit in the target and must be injected, denied, or modeled, never inherited accidentally.	Parser call; no evaluator native env; no ResourceProvider/environment abstraction; no IR/backend/Markdown/WASM/CLI language path.	No resource root or source identity; environment identity is the variable name and controlled capability context.	Core does not call std::env, cwd, or process APIs; native CLI environment is not implicitly exposed; WASM binding is absent.	Current stdlib row, evaluator native dispatch list, and architecture rule forbidding host access in core.	UNSUPPORTED	No current `.env` behavior is represented and no host environment is accidentally read by evaluation.	No explicit capability/injection model, absent-variable none result, permission diagnostic, deterministic fixture, or native/WASM contract is represented.	The accepted host/security boundary must be chosen during follow-up.	#190	Owned external-input boundary; implementation intentionally excluded from #155.	WASM should receive an explicit environment map or deterministic denial, never call the host environment.
owned	contract:markdown-subdocument-resolution	markdown-subdocument-link;local-link	resource-backed Markdown link	Markdown link destination `[label](path)` and Quarkdown subdocument link recognition	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-core/src/main/kotlin/com/quarkdown/core/context/hooks/SubdocumentRegistrationHook.kt#L17-L76	Static link destination plus optional label/title; local links can become subdocument graph edges when the destination has a recognized source extension.	Relative destination uses the defining source's FileSystem; external URL remains a URL and is not a local resource.	Nested source links must resolve from the nested document identity; upstream canonicalizes target files before graph registration.	Missing or unreadable local targets are unresolved-subdocument errors; remote URLs are not subdocument files.	Absolute, parent, and symlink targets are governed by upstream root/permission checks; Arkst local links must remain project-bounded. Project-boundary/traversal classification is explicit.	Remote URL is preserved as link output and not fetched by link resolution.	Current source identity is deterministic; target graph discovery would depend on project file set if implemented.	Rushdown/arkst-markdown parses links; ast_to_ir preserves local/remote link distinction; no graph registration; Typst lowers links only; CLI project load has assets; no WASM graph API.	Logical source root is the defining source parent; project root is VirtualProject root; target identity is currently absent for links.	Current IR rejects nonlocal image resources but ordinary links are output-only; no cwd/temp in core; backend/native link behavior differs from graph semantics; WASM not exposed.	crates/arkst-core/src/ast_to_ir.rs link/image checks; crates/arkst-core/tests/quarkdown_resource_builtins.rs; #24/#59 historical contracts.	PARTIAL	Static local links are parsed, retain source provenance, and can be lowered as links without network fetching.	The parser/output subset works, but nested subdocument target loading, graph identity, missing-target diagnostics, and boundary-equivalent registration remain absent.	#188 common resolver; #181 owns link/reference output and #154 graph reconciliation.	#188;#181;#154	Owned resource-resolution contract; no link renderer reimplementation.	WASM currently preserves link IR only; graph/resource parity is not exposed.
owned	contract:virtual-project-resource-model	VirtualProject;ResourceProvider	resource architecture	Upstream Context.fileSystem plus ProjectRead/GlobalRead capability model	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-core/src/main/kotlin/com/quarkdown/core/context/file/FileSystem.kt#L14-L78; https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-core/src/main/kotlin/com/quarkdown/core/permissions/Permission.kt#L10-L60	Upstream gives each Context a mutable FileSystem working directory, root, branches, and permission checks; Arkst models bytes/text through a provider.	Upstream is source-working-directory-relative with project/global permission distinctions; Arkst is logical source-relative within a VirtualProject.	Branches represent nested source bases upstream; Arkst carries SourceId and canonical VirtualPath through read_source.	Upstream host File errors and permission exceptions are not stable codes; Arkst has typed NotFound/Boundary/InvalidUtf8/UnsupportedReference errors.	Arkst rejects absolute, Windows, `..` escape, and URI references in the logical provider; no silent external fallback. Project-boundary/traversal classification is explicit.	Upstream has separate permission-gated network media; core resource provider has no network operation.	VirtualProject sorts stores and has deterministic identity; upstream host directory and permission state are external.	Project VirtualProject; engine ResourceProvider; core adapter; evaluator builtins; backend-neutral IR; Typst lowering remains pure; Markdown uses IR; native CLI constructs project; WASM-capable crates but no binding.	Resource root/project root are the VirtualProject logical root; source root is SourceId path parent; entry SourceId is explicit; nested identity is SourceId/path; asset identity is canonical VirtualPath.	No core host cwd, std::fs, process, or network; native adapter owns filesystem; no OS temp in evaluator; native/WASM equivalence is semantic at provider layer but not binding/output end-to-end.	crates/arkst-project/src/virtual_project.rs; crates/arkst-engine/src/lib.rs; crates/arkst-core/src/engine_adapter.rs; resource_contract tests.	SUPPORTED_SEMANTICS	Logical in-memory source/asset reads, source identity, strict UTF-8, typed errors, and deterministic project construction are represented at the semantic layer.	The model is represented semantically, but backend asset materialization and full native/WASM output equivalence remain not represented or rendered.	#182 and #187 own consumer/backend closure.	#182;#187	Canonical architecture finding; no implementation change in #155.	Core/project/engine APIs are WASM-capable, but no WASM bindings or end-to-end equivalence harness exist.
owned	contract:logical-path-normalization	VirtualPath;canonical logical path	path normalization	Upstream IOUtils.resolvePath(path, workingDirectory) and FileSystem.relativePathTo	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-core/src/main/kotlin/com/quarkdown/core/util/IOUtils.kt#L20-L39; https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-core/src/main/kotlin/com/quarkdown/core/context/file/FileSystem.kt#L48-L78	Upstream accepts host path strings; relative paths join workingDirectory and absolute paths bypass it.	Upstream semantics are host platform paths; Arkst canonicalizes `/` logical paths, skips `.`, resolves `..` only within root, and rejects Windows/absolute forms. Source/project-relative classification is explicit.	Nested base is the source parent; repeated separators and dot components normalize in VirtualPath; target canonical identity is stable.	Upstream malformed/path failures are host-dependent; Arkst returns typed InvalidReference/Boundary errors.	Project-root escape, absolute paths, drive letters, backslashes, trailing slash, and invalid components fail closed in VirtualPath; subprocess also rejects symlink escape. Project-boundary/traversal classification is explicit.	URL schemes are classified separately and never become local paths.	VirtualPath normalization is deterministic and case-sensitive; host filesystem case/symlink behavior is isolated to native staging.	Parser/binder preserve path strings; VirtualProject::resolve_resource_path uses VirtualPath; evaluator provider uses it; IR stores logical references; Typst lowering classifies local refs; Markdown image checks use same local policy; CLI canonicalizes root; no WASM bindings.	Project root is logical `/`; source root is source parent; entry/nested identity is canonical VirtualPath/SourceId; no host canonical path leaks into core.	Core is cwd-independent and temp-independent; native subprocess resolves symlink boundaries in host adapter; platform-neutral and native semantics are equivalent for logical path acceptance, but asset/backend parity is incomplete.	crates/arkst-project/src/virtual_path.rs tests; crates/arkst-project/src/virtual_project.rs; crates/arkst-typst-subprocess/src/lib.rs boundary tests.	SUPPORTED_SEMANTICS	Canonical separator, dot, repeated-separator, parent, absolute, Windows, invalid-component, and root-boundary rules are represented for logical resources.	Normalization is represented, but backend consumers and all upstream absolute/global path semantics are not represented or rendered.	#188 must define language-facing relative bases; #182/#187 must close consumer parity.	#188;#182;#187	Canonical path policy; no new path semantics in #155.	WASM-capable logical path code is deterministic; no WASM binding test currently proves the contract.
owned	contract:resource-diagnostics-provenance	ResourceAccessError;IncludedSource	resource errors and provenance	Upstream FileSystem permission/existence failures and SubdocumentRegistrationHook unresolved errors	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-core/src/main/kotlin/com/quarkdown/core/context/hooks/SubdocumentRegistrationHook.kt#L27-L76; https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-core/src/main/kotlin/com/quarkdown/core/permissions/PermissionHolder.kt#L39-L68	Upstream reports permission, missing, parse, and unresolved-target failures through exceptions; source identity is host File/canonical path.	Arkst preserves local reference, SourceId, canonical VirtualPath, and source span through provider/evaluator diagnostics. Source/project-relative classification is explicit.	Nested includes add source stack context; repeated resources preserve identity without relying on host canonicalization.	Arkst distinguishes UnsupportedReference, UnknownSource, Boundary, NotFound, InvalidUtf8, and evaluation diagnostics; inaccessible host File errors are not modeled in VirtualProject.	Boundary is typed and fail-closed; no host path or cwd in core diagnostics.	URI/remote failures are classified as unsupported rather than fetched.	Diagnostics are deterministic for in-memory fixtures; host inaccessible/symlink state remains native-adapter state.	Parser spans; binder conversion errors; evaluator E300x/resource errors; provider typed errors; IR source maps; Typst backend errors; Markdown diagnostics; CLI host errors; WASM no binding.	Source identity is SourceId plus canonical logical path; entry/nested source identity survives include; asset provenance uses canonical virtual path but no image existence link.	Core has no cwd/temp/FS; native adapter may see OS errors; WASM semantic parity is unproven for bindings.	crates/arkst-engine/tests/resource_contract.rs exact diagnostics; crates/arkst-core/tests/quarkdown_resource_builtins.rs; crates/arkst-project/src/resource.rs.	PARTIAL	Missing, unsupported-reference, boundary, invalid-UTF8, source-stack, cycle, and source-provenance diagnostics are represented for the in-memory subset.	The subset works, but inaccessible-resource taxonomy, directory/format diagnostics, duplicate canonical identities, and all consumer-level provenance remain absent.	#188/#189 resolver and data contracts; #182 media diagnostics.	#188;#189;#182	Owned evidence/reconciliation contract; no diagnostic implementation in #155.	Typed provider errors are portable in principle, but WASM-facing error serialization and end-to-end tests are absent.
owned	contract:project-boundary-enforcement	boundary;traversal;symlink	security boundary	Upstream PermissionHolder root check and IOUtils.isSubPath	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-core/src/main/kotlin/com/quarkdown/core/permissions/PermissionHolder.kt#L39-L68; https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-core/src/main/kotlin/com/quarkdown/core/util/IOUtils.kt#L40-L55	Upstream checks permission root after host File resolution; global read may allow paths outside project.	Arkst treats project root as logical and source-relative; local references are not URLs or host absolute paths.	Nested include/source bases retain the same VirtualProject root; no nested escape is allowed.	Missing and boundary errors are typed; native staging reports symlink/canonicalization failures separately.	`..`, absolute, mixed separators, repeated separators, `.`, project escape, and symlink escape are covered by logical/native boundary tests; no silent fallback.	Remote URLs are not converted into boundary-bypassing local resources.	In-memory boundary decisions are deterministic; native symlink/file state is explicitly adapter-owned.	VirtualPath/VirtualProject boundary; ResourceProvider; evaluator; Typst subprocess mirror; Markdown image local classifier; CLI root validation; no WASM binding.	Project root is VirtualProject root; source root is parent path; entry and nested SourceIds remain inside canonical project tree; assets are root-bounded.	Core is host-independent and no temp-dependent; native subprocess uses explicit root and isolated temp mirror with symlink checks; native/WASM equivalence is only semantic at logical provider layer.	crates/arkst-project/src/virtual_path.rs; crates/arkst-typst-subprocess/src/lib.rs boundary/symlink tests; CLI project loading; resource_contract tests.	SUPPORTED_SEMANTICS	Logical project-boundary and traversal rejection are represented and tested for current provider/staging paths.	Boundary policy is represented, but Markdown/Quarkdown media existence, full data consumers, and backend asset parity are not represented or rendered.	#182 media and #187 backend research depend on #155 boundary evidence.	#182;#187	Security boundary finding; no broadening of host access.	WASM logical project boundaries are portable, but binding-level adversarial fixture coverage is absent.
owned	contract:remote-resource-policy	remote URLs;NetworkAccess	network and external resources	Upstream ResolvableMedia path-or-URL behavior and NetworkAccess permission	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-core/src/main/kotlin/com/quarkdown/core/media/ResolvableMedia.kt#L8-L35; https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-core/src/main/kotlin/com/quarkdown/core/media/export/MediaOutputResourceConverter.kt#L20-L35	Upstream `.image` accepts path or URL and may store/fetch RemoteMedia; `.font` can resolve URL/system/GoogleFonts; ordinary links preserve URL.	Local paths are working-directory-relative; URL references are remote identifiers and are not local project resources.	Nested media uses the current FileSystem workingDirectory; remote media has no project-relative base.	Upstream permission/type/storage options govern remote failure; Arkst has no remote resource diagnostics because it rejects URI references.	Remote URLs cannot bypass logical project boundary; local absolute/Windows references are rejected by Arkst frontends/provider.	Upstream has real network fetch through media output conversion; Arkst intentionally has no HTTP/network access in core or CLI resource provider.	Remote state is inherently nondeterministic; current Arkst policy rejects it instead of accidentally inheriting network state.	Engine resource_path rejects URI; ast_to_ir rejects nonlocal images; Typst lowering comments out nonlocal images; `.image`/`.font` native dispatch absent; #182/#175 own producers; no WASM/network path.	Local asset identity is canonical VirtualPath; remote URL identity has no Arkst representation; project/source roots are not applicable to remote.	No cwd/temp/network access in core; native Typst has explicit root but does not fetch through VirtualProject; native/WASM remote semantics are intentionally equivalent rejection only for current engine.	crates/arkst-core/src/ast_to_ir.rs image diagnostics; crates/arkst-typst/src/lowering.rs local resource classifier; crates/arkst-engine/src/evaluator.rs URI errors; upstream RemoteMedia source.	PARTIAL	Local engine resource references fail closed for URI schemes and preserve a deterministic no-network boundary.	The rejection policy is explicit, but Quarkdown remote image/font/media acceptance, permission, fetch, storage, and output semantics remain absent.	No network is allowed in #155; media/output follow-up is #182 and font owner is #175.	#182;#175	Owned cross-audit network boundary; no network implementation.	WASM must preserve rejection or use explicit caller-supplied bytes; it must never open network connections.
owned	contract:nested-resource-identity	Subdocument;SourceId;working directory	nested loading and identity	Upstream Subdocument registration and FileSystem.branch(workingDirectory = file.parentFile)	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-core/src/main/kotlin/com/quarkdown/core/context/hooks/SubdocumentRegistrationHook.kt#L17-L64; https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-core/src/main/kotlin/com/quarkdown/core/document/sub/Subdocument.kt#L18-L73	Upstream nested files have canonical absolute path identity, parent working directory, graph parent edge, and content.	A nested resource is source-relative to its defining document, not the entry document; project root remains a permission boundary.	Includes preserve active SourceId stack and nested read base; ordinary subdocument graph registration is not yet represented.	Upstream unresolved target and read errors are exception-based; Arkst include diagnostics are typed, graph target errors are absent.	Nested `..` is permitted upstream subject to root; Arkst rejects logical escape and native symlink escape. Project-boundary/traversal classification is explicit.	No network nested load.	Identity/order are deterministic in VirtualProject; upstream graph/path canonicalization depends on host files and symlinks.	Included source is `IncludedSource { path, source_id, text }`; evaluator uses target SourceId; IR spans/provenance survive; Typst generated entry context is separate; Markdown links no graph; CLI no graph; WASM no graph binding.	Entry document SourceId/path, nested SourceId/path, source parent relative base, and project root are explicit for includes; graph edge identity is missing.	Core no cwd/temp/FS; native staging enforces root; WASM semantic provider can carry identity but no binding/output proof.	resource_contract nested include/cycle/repeat tests; quarkdown_resource_builtins nested source-relative read; current Subdocument/VirtualProject code.	PARTIAL	Nested include source identity, source-relative nested reads, active cycle detection, repeats, and provenance are represented.	The include subset works, but subdocument graph target identity, ordinary-link registration, nested boundary diagnostics, and full output graph behavior remain absent.	#188 common resolver; #154/#181 graph/reference output.	#188;#154;#181	Owned nested identity contract; graph rendering is handed off.	WASM provider can retain SourceId/path, but graph binding and output equivalence are not available.
owned	contract:typst-entry-source-context	TypstInput.entry_path;TypstSourceContext	backend resource coupling	Upstream FileSystem workingDirectory/root and relative asset/import resolution	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-core/src/main/kotlin/com/quarkdown/core/context/file/FileSystem.kt#L14-L78	Upstream generated output resolves relative resources from the source document context; Arkst TypstInput carries logical entry_path and native adapter carries explicit project root.	Entry path is project-root-relative in Arkst; nested source path is separate from generated backend entry; Typst imports/assets are backend paths.	Native adapter mirrors project files into an isolated temp tree and invokes Typst with `--root`; no evaluator nested load occurs in backend.	Host staging, missing asset, compiler, and import errors are adapter/compiler errors, not engine resource diagnostics.	Native mirror canonicalizes project root and rejects outside/symlink escape; core has no filesystem. Project-boundary/traversal classification is explicit.	Typst imports/asset URLs are backend-specific and do not add network access in Arkst.	Temp staging and host file contents affect backend execution; evaluator semantics remain deterministic/in-memory.	`arkst-typst` owns pure lowering and TypstInput; `arkst-typst-subprocess` owns source context/temp mirror; CLI passes canonical root; IR image paths are not VirtualProject-resolved; no WASM PDF/backend.	Logical entry identity is TypstInput.entry_path; native project root is canonical host root; generated entry is mirrored at that relative path; asset identity is host mirror path, not provider identity.	Cwd is not used; OS temp is deliberately used only by native adapter; core/WASM remain FS-free; native/WASM output equivalence is not established.	crates/arkst-typst/src/backend.rs; crates/arkst-typst-subprocess/src/lib.rs tests for entry path/root/mirror/symlinks; CLI command loading.	PARTIAL	#24's source-context intent is now factually represented by explicit entry_path, project root, `--root`, bounded mirror, and symlink checks.	The backend path is explicit, but generated Typst resources are not resolved from the VirtualProject provider and no WASM/backend parity exists; this remains a backend coupling gap.	Do not redesign here; #187 is explicitly ordered after #156 and owns re-evaluation.	#187	Historical #24 reconciliation; implementation sequencing is defined by #156; #187 is preserved as the next strategy work.	WASM has pure lowering only; no filesystem-backed Typst execution or resource API.
owned	contract:host-determinism-isolation	cwd;temp;implicit global state	determinism and host boundary	Upstream FileSystem.workingDirectory/root and Process.env behavior	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-core/src/main/kotlin/com/quarkdown/core/context/file/FileSystem.kt#L14-L78; https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Process.kt#L28-L40	Upstream resource and env operations observe context working directory, host files, permissions, or process environment.	Arkst resource paths are logical source-relative; environment is not modeled; CLI supplies explicit project root rather than cwd semantics.	Nested includes use SourceId/path, not process cwd; native backend temp mirror is isolated and not evaluator state.	Host inaccessible files and env denial are kept outside engine; no accidental host errors are claimed as language behavior.	Boundary and path rules are fail-closed for logical resources; no traversal via cwd/temp/global state.	No network in engine; remote resources are rejected.	Current date/time public sweep found no v2.5.1 date/time QFunction; env and host filesystem are the applicable external-state surfaces.	VirtualProject/ResourceProvider engine is FS/cwd/network-free; CLI explicit root; Typst subprocess explicit root plus temp mirror; no global mutable evaluator; no WASM bindings.	Resource root/project root/source root/entry identity are explicit in VirtualProject; native temp is an execution mirror only; env identity absent.	Cwd-dependent semantics are not inherited by core; OS temp is only native backend staging; native/WASM equivalence is semantic provider-level only.	Architecture docs; VirtualProject/resource provider tests; Typst subprocess root/temp tests; evaluator resource tests; pinned stdlib sweep.	SUPPORTED_SEMANTICS	Core resource evaluation is explicitly modeled through in-memory project context and does not accidentally read cwd, temp, env, or network state.	The isolation boundary is represented, but `.env` controlled injection, backend/provider asset parity, and WASM binding equivalence are not represented or rendered.	#190 controls environment input; #187 controls backend coupling; #191 controls WASM exposure.	#190;#187;#191	Determinism audit finding; no host-access implementation.	WASM-capable core has the desired isolation by construction, but no binding test proves it.
owned	contract:wasm-resource-boundary	WASM;embedder	WASM resource API	Upstream Context.fileSystem contract audited against Arkst in-memory project boundary	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-core/src/main/kotlin/com/quarkdown/core/context/file/FileSystem.kt#L14-L78	Resource inputs must be caller-supplied bytes/text and logical paths; no host path/process/network API is permitted.	Logical source/project-relative semantics should match native VirtualProject; nested SourceId is the identity base.	Nested loads must use provider state, not a WASM cwd or browser URL; deterministic ordering and error serialization are required.	Typed engine errors are available internally; public binding diagnostics and inaccessible-resource semantics do not exist.	The same root/traversal rules must apply; no host escape exists in the intended WASM boundary.	No network or remote fetch is permitted.	WASM must not inherit browser/host environment, date/time, cwd, or remote state unless explicitly injected.	Core/project/engine compile without native FS; no `arkst-wasm` resource bindings or end-to-end WASM tests; Typst lowering only; CLI/native path is separate.	VirtualProject root/source/entry/nested identity can be represented in memory; public binding identity/bytes API is absent.	Platform-neutral code is FS/process/network-free; native/WASM equivalence is not proven at binding/output layers; no temp in WASM.	Workspace crate boundaries and M6 roadmap; `cargo check --target wasm32-unknown-unknown` is compile evidence only, not behavior evidence.	DEFERRED	Core resource semantics are available to a future in-memory WASM boundary without host access.	The public WASM resource API and end-to-end native/WASM conformance are deferred to the M6/WASM binding milestone; no binding currently exists.	M6/WASM binding milestone and provider/capability contract stabilization are prerequisites.	#191	Explicitly deferred product boundary; no implementation in #155.	This row is the WASM gap owner handoff to #191, with no filesystem or network fallback.
handoff:#182	builtin:.image	image;remote-media	media resource consumer	image(context: Context, url: String, label: InlineMarkdownContent, title: InlineMarkdownContent? = null, width: Size? = null, height: Size? = null, ref: String? = null, figure: Boolean = true, mediastorage: Boolean = true) -> NodeValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Primitives.kt#L161-L182	Accepts local path or URL plus label/size/figure/media-storage options; creates image content.	Upstream local path is FileSystem-relative and URL is RemoteMedia; resource/media/output contract is owned by #182.	Nested media uses current source working directory; media storage canonicalizes local/remote identity upstream.	Missing/type/storage/network failures are permission/media-layer behavior, not #155 producer ownership.	Upstream root/permission checks may allow global local paths; Arkst boundary evidence is recorded in owned remote-policy rows.	Remote URL fetch is real upstream behavior through media output conversion; Arkst must not add it here.	Remote and host media are nondeterministic external state.	Arkst only retains bounded Markdown image IR/classification; no native `.image` evaluator, QD sizing, media storage, or output parity; #182 owns it.	Local project asset identity is VirtualPath; image media identity/output is not complete.	No new host/network access; native backend resource coupling is #187.	#154 image row; current ast_to_ir and Typst image tests; #182 body explicitly names #155 resource dependency.	NOT_APPLICABLE	Handoff: current local image parser/IR subset and explicit URI rejection are recorded; producer/media behavior is outside #155.	Full image resource/media/figure/type/missing/output contract is not a #155-owned gap and must not be duplicated.	#182 resource/content producer; #187 backend dependency.	#182	Explicit handoff to #182; #155 records the consumed boundary only.	WASM image behavior remains unimplemented until #182/#191 resource APIs.
handoff:#182	syntax:markdown-image-resource	markdown-image;![alt](path)	Markdown media resource consumer	Markdown image destination syntax `![alt](destination)`	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-core/src/main/kotlin/com/quarkdown/core/parser/InlineTokenParser.kt#L271-L284	Destination plus optional title; local and remote image destinations are distinct resource classes.	Local path is source-relative in the Arkst bounded classifier; remote/data/absolute destinations are rejected; complete media contract is #182.	Nested Markdown source should use nested source identity, but image existence/media loading is not currently performed.	Missing/inaccessible image behavior is not established by parser retention; #182 owns media diagnostics.	Current code rejects nonlocal references and does not prove project asset existence or symlink policy end-to-end. Project-boundary/traversal classification is explicit.	Upstream media supports remote URLs; Arkst intentionally does not fetch.	Remote/host image bytes are external; current reject policy is deterministic.	Rushdown parser -> ast_to_ir Image -> Typst lowering local string; no VirtualProject asset read, no native `.image`, no WASM binding; #182 owns content/output.	Logical local destination is source-relative; asset canonical identity/existence is not represented in IR.	No core FS/network/cwd/temp; native Typst may resolve a mirrored path; backend parity is #187.	crates/arkst-core/src/ast_to_ir.rs image diagnostics; crates/arkst-core/tests/quarkdown_resource_builtins.rs; crates/arkst-typst/src/lowering.rs tests; #154 manifest.	NOT_APPLICABLE	Handoff: local syntax and fail-closed nonlocal classification are evidenced; resource existence/media/output are outside #155 ownership.	Complete project asset lookup, missing/type behavior, QD image extensions, and output fidelity remain #182 work.	#182 media/resource/output owner	#182;#187	Explicit handoff to #182; no duplicate media implementation.	WASM asset lookup is not exposed and cannot be inferred from parser tests.
handoff:#175	builtin:.font	font-resource;system-font	layout resource consumer	font(context: MutableContext, main: String? = null, heading: String? = null, code: String? = null, size: Size? = null) -> VoidValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Document.kt#L498-L551	Font names may identify local files, URLs, system fonts, or GoogleFonts; changes document-wide font configuration.	Resource source is upstream media/font resolver, not a project data path only; complete layout semantics are #175. Source/project-relative classification is explicit.	Nested document configuration inherits/merges context; resource resolution may depend on host font registry.	Missing font and resolver/network failures belong to layout/media contract; no current Arkst font diagnostic.	Host/system font access is outside core; project boundary and remote policy remain explicit dependencies.	Upstream may fetch remote/GoogleFonts; Arkst does not.	System font registry/network state is nondeterministic.	Current #153 audit classifies `.font` PARSED_ONLY and #175 owns typed state; no native resource resolver.	No current font resource identity in VirtualProject/IR; system root is not applicable to core.	No core cwd/FS/network; native backend font discovery is separate; WASM font parity absent.	LAYOUT_DOCUMENT_CONFIGURATION_AUDIT_MANIFEST.tsv; #175 body; upstream Document.kt and internal font resolver.	NOT_APPLICABLE	Handoff: resource-dependent font surface is recorded as #175-owned layout/configuration work, not a #155 implementation gap.	Typed font state, system/remote/project font resolution, diagnostics, and output are #175 scope.	#175 layout owner	#175;#187	Explicit handoff to #175; #155 records network/determinism coupling only.	WASM must use explicit caller-supplied fonts or a documented unavailable policy.
handoff:#181	builtin:.link	link;relative-url	structural link consumer	link(context: Context, content: InlineMarkdownContent, url: String, title: InlineMarkdownContent? = null, style: StyleOptions = DEFAULT) -> Link	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Primitives.kt#L123-L136	Body, URL/path, optional title/style; creates a link and may carry source FileSystem for relative resolution.	Relative URL handling is output/link semantics; local subdocument graph resolution is separately recorded under #188.	Nested source link base should be defining source; remote URL remains output-only.	No resource read is required for ordinary link; target validation belongs to structural/reference ownership.	No link URL may be treated as permission-free local file by #155. Project-boundary/traversal classification is explicit.	Remote URLs are preserved, not fetched by link producer.	URL and output base configuration may be environment/target dependent; not an evaluator resource read.	Parser/IR retain link; Typst lowering outputs link; #181 owns structural/reference/index behavior; no resource provider or WASM link graph.	Local URL identity is not a loaded resource; project/source roots only apply when link is classified as subdocument.	Core no network/cwd/FS; backend URL output is separate; native/WASM semantic link retention is current.	#154 content audit and current link/IR/lowering tests; upstream Primitives.kt and LinkUrlResolverHook.	NOT_APPLICABLE	Handoff: ordinary link syntax/URL output is outside #155 resource loading ownership.	Structural link/reference/anchor/output semantics and any link-specific target policy remain #181; nested resource resolution is #188.	#181 structural output; #188 nested resolver	#181;#188	Explicit handoff to #181; no duplicate link implementation.	WASM can retain link strings but has no graph/resource target API.
